# Tarea,Fase,ID Tarea,Dependencias,Descripcion Detallada,Días Laborales (a 6:45h/día),Días (a 3h/día),Horas Tarea,% Peso,% Avance Acumulado,% Real Avance,Estado,Responsable,Comentarios,Fecha Inicio Baseline,Fecha Entrega Baseline,Fecha Inicio Real,Fecha Entrega Real,Dificultad,Varianza (Días)
26,7: Cierre Avanzado,T026,T025,"Finalizar implementación completa del sistema de jerarquía de aprobación, incluyendo casos edge y validaciones avanzadas. Extender tarea 21.",4.15,9.33,28.00,3.89%,75.00%,45.00%,En Progreso,Raul Ortega,"Jerarquía operativa con validaciones base; el cierre avanzado aún no está completo",17/02/2026,23/02/2026,01/05/2026,01/05/2026,Alta,67.00
27,7: Cierre Avanzado,T027,T026,Completar implementación de delegados y sub-aprobadores con todas las reglas de negocio. Extender tarea 22.,4.15,9.33,28.00,3.89%,78.89%,40.00%,En Progreso,Raul Ortega,"Delegación funcional disponible; reglas avanzadas y cierre total de sub-aprobación no demostrados end to end",24/02/2026,02/03/2026,01/05/2026,01/05/2026,Alta,60.00
28,7: Cierre Avanzado,T028,T027,Mejorar completamente el sistema de auditoría con reportes y dashboards funcionales. Extender tarea 23.,2.37,5.33,16.00,2.22%,81.11%,65.00%,En Progreso,Raul Ortega,"Monitoreo y auditoría funcional para errores y eventos; falta terminar auditoría administrativa detallada en UI",03/03/2026,09/03/2026,01/05/2026,04/05/2026,Media,56.00
29,8: Pruebas UAT,T029,T028,"Planificar y preparar UAT con usuarios finales, crear scripts de prueba, configurar entorno de prueba.",1.78,4.00,12.00,1.67%,82.78%,20.00%,En Progreso,Raul Ortega,"Entorno y scripts de prueba local listos; no hay preparación UAT formal con usuarios finales",10/03/2026,16/03/2026,04/05/2026,08/05/2026,Media,53.00
30,8: Pruebas UAT,T030,T029,"Ejecutar UAT con usuarios finales, recopilar feedback, identificar bugs.",1.78,4.00,12.00,1.67%,84.44%,0.00%,No Iniciado,Raul Ortega,"Sin evidencia verificable de ejecución UAT con usuarios finales ni feedback recopilado",17/03/2026,23/03/2026,04/05/2026,08/05/2026,Media,46.00
31,8: Pruebas UAT,T031,T030,"Corregir bugs identificados en UAT, validar correcciones, re-ejecutar pruebas.",2.37,5.33,16.00,2.22%,86.67%,0.00%,No Iniciado,Raul Ortega,"Hay correcciones técnicas en el repositorio, pero no trazadas a defectos levantados en UAT formal",24/03/2026,30/03/2026,04/05/2026,08/05/2026,Media,39.00
32,9: Capacitacion y Documentacion,T032,T031,Realizar sesiones de capacitación para usuarios finales en el uso del sistema.,1.19,2.67,8.00,1.11%,87.78%,0.00%,No Iniciado,Raul Ortega,"Sin evidencia de sesiones de capacitación a usuarios finales",31/03/2026,06/04/2026,04/05/2026,08/05/2026,Media,32.00
33,9: Capacitacion y Documentacion,T033,T032,Capacitar a administradores en gestión y mantenimiento del sistema.,1.19,2.67,8.00,1.11%,88.89%,0.00%,No Iniciado,Raul Ortega,"Sin evidencia de capacitación formal a administradores",07/04/2026,09/04/2026,04/05/2026,08/05/2026,Media,29.00
34,9: Capacitacion y Documentacion,T034,T033,Actualizar manuales técnico y de usuario basados en feedback de UAT y capacitación.,0.59,1.33,4.00,0.56%,89.44%,0.00%,No Iniciado,Raul Ortega,"Sin evidencia de actualización documental basada en feedback de UAT/capacitación",10/04/2026,15/04/2026,04/05/2026,08/05/2026,Baja,23.00
35,10: Despliegue,T035,T034,"Planificar despliegue en producción, incluyendo migración de datos y procedimientos de rollback.",2.96,6.67,20.00,2.78%,92.22%,55.00%,En Progreso,Raul Ortega,"Plan de despliegue productivo documentado; falta rollback verificable y ejecución real",16/04/2026,20/04/2026,04/05/2026,08/05/2026,Alta,18.00
36,10: Despliegue,T036,T035,"Configurar entorno de producción, instalar dependencias, configurar BD y servidores.",2.96,6.67,20.00,2.78%,95.00%,15.00%,En Progreso,Raul Ortega,"Preparación de configuración productiva en repo; sin evidencia de entorno realmente configurado",21/04/2026,24/04/2026,04/05/2026,08/05/2026,Alta,14.00
37,10: Despliegue,T037,T036,"Ejecutar go-live, migrar datos, validar funcionamiento en producción.",2.96,6.67,20.00,2.78%,97.78%,0.00%,No Iniciado,Raul Ortega,"Sin evidencia de go-live, migración productiva ni validación en producción",27/04/2026,29/04/2026,04/05/2026,08/05/2026,Alta,9.00
38,10: Despliegue,T038,T037,"Proporcionar soporte post-despliegue, monitorear rendimiento, resolver incidencias iniciales.",2.37,5.33,16.00,2.22%,100.00%,0.00%,No Iniciado,Raul Ortega,"Sin evidencia de operación post-despliegue; solo existe capacidad técnica de monitoreo",30/03/2026,31/03/2026,04/05/2026,08/05/2026,Media,38.00
Total,,,,,106.73,239.97,720.00,100.00%,Avance Total:,60.63%,,,,,,,,,
