# ============================================================================
# CRONOGRAMA DE SEGUIMIENTO
# ============================================================================
# PROYECTO: Justificacion de Marcas
# RESPONSABLE UNIFICADO: Raul Ortega (todas las tareas).
# Costo en colones por hora de trabajo 3607.95,3607.95,,,,,,,,,,,,,,,,,,
# JORNADA: Lunes a Viernes de 06:00 hasta 15:00 menos 1:15h de alimentación,
# FECHA FIN BASELINE: 31/03/2026.
# ============================================================================
Fase,ID Tarea,# Tarea,Descripción Detallada,Días,Horas Tarea,% Progreso,Estado,Responsable,% Real Avance,Comentarios,Dependencias,Fecha Inicio Baseline,Fecha Fin Baseline,Fecha Inicio Real,Fecha Fin Real,Fecha Entrega Real,Varianza (Horas),Costo Estimado,Entregables
6: Funcionalidades Avanzadas y Refinamiento,T023,23,"Completar logging de eventos de auditoría, implementar dashboard de auditoría admin, agregar características de reporte de auditoría. Usar tablas de auditoría existentes.",3,18,1.9%,Bloqueada,Raul Ortega,0%,"Bloqueada: T022 fin proyectado 20-04. Debloqueo 20-04, inicio 21-04. Fin proyectado 25-04. Atraso cascada: 3 días vs baseline 22-04.",T022,06/02/2026,10/02/2026,21/04/2026,25/04/2026,25/04/2026,3,64943,Dashboard de auditoría
6: Funcionalidades Avanzadas y Refinamiento,T024,24,"Escribir manuales de usuario para todos los roles, crear documentación técnica, actualizar documentación de API. Basado en docs/ existentes.",2,12,1.3%,En Progreso,Raul Ortega,50%,"Manuales en redacción, fin proyectado 27-04-26 (atraso 3 días). Hereda atraso de T021-T023.",T023,11/02/2026,12/02/2026,24/04/2026,27/04/2026,27/04/2026,3,43295,Manuales de usuario
6: Funcionalidades Avanzadas y Refinamiento,T025,25,"Pruebas cross-browser, optimización de rendimiento, correcciones finales de errores y pulido. Validar con código actual.",2,12,1.3%,En Espera de Debloqueo,Raul Ortega,0%,"Bloqueada: T024 fin proyectado 27-04. Debloqueo 27-04, inicio 28-04. Fin proyectado 30-04. Atraso cascada: 2 días vs baseline 28-04.",T024,13/02/2026,16/02/2026,28/04/2026,30/04/2026,30/04/2026,2,43295,Optimizaciones finales
7: Cierre Avanzado,T026,26,"Finalizar implementación completa del sistema de jerarquía de aprobación, incluyendo casos edge y validaciones avanzadas. Extender tarea 21.",5,30,3.2%,En Espera de Debloqueo,Raul Ortega,0%,"Bloqueada: T025 fin proyectado 30-04. Debloqueo 30-04, inicio 01-05. Fin proyectado 08-05. Atraso cascada: 3 días vs baseline 05-05. Proyectada por dependencia. Tarea fuera de crono macro original.",T025,17/02/2026,23/02/2026,01/05/2026,08/05/2026,08/05/2026,3,108238,Jerarquía completa
7: Cierre Avanzado,T027,27,Completar implementación de delegados y sub-aprobadores con todas las reglas de negocio. Extender tarea 22.,5,30,3.2%,En Espera de Debloqueo,Raul Ortega,0%,"Bloqueada: T026 fin proyectado 08-05. Debloqueo 08-05, inicio 09-05. Fin proyectado 15-05. Atraso cascada: 3 días vs baseline 12-05. Proyectada por dependencia. Tarea fuera de crono macro original.",T026,24/02/2026,02/03/2026,09/05/2026,15/05/2026,15/05/2026,3,108238,Delegados completos
7: Cierre Avanzado,T028,28,Mejorar completamente el sistema de auditoría con reportes y dashboards funcionales. Extender tarea 23.,5,30,3.2%,En Espera de Debloqueo,Raul Ortega,0%,"Bloqueada: T027 fin proyectado 15-05. Debloqueo 15-05, inicio 16-05. Fin proyectado 22-05. Atraso cascada: 3 días vs baseline 19-05. Proyectada por dependencia. Tarea fuera de crono macro original.",T027,03/03/2026,09/03/2026,16/05/2026,22/05/2026,22/05/2026,3,108238,Auditoría completa
8: Pruebas UAT,T029,29,"Planificar y preparar UAT con usuarios finales, crear scripts de prueba, configurar entorno de prueba.",5,30,3.2%,En Espera de Debloqueo,Raul Ortega,0%,"Bloqueada: T028 fin proyectado 22-05. Debloqueo 22-05, inicio 23-05. Fin proyectado 29-05. Atraso cascada: 3 días vs baseline 26-05. Proyectada por dependencia. Tarea fuera de crono macro original.",T028,10/03/2026,16/03/2026,23/05/2026,29/05/2026,29/05/2026,3,108238,Plan UAT
8: Pruebas UAT,T030,30,"Ejecutar UAT con usuarios finales, recopilar feedback, identificar bugs.",5,30,3.2%,En Espera de Debloqueo,Raul Ortega,0%,"Bloqueada: T029 fin proyectado 29-05. Debloqueo 29-05, inicio 30-05. Fin proyectado 05-06. Atraso cascada: 3 días vs baseline 02-06. Proyectada por dependencia. Tarea fuera de crono macro original.",T029,17/03/2026,23/03/2026,30/05/2026,05/06/2026,05/06/2026,3,108238,Feedback UAT
8: Pruebas UAT,T031,31,"Corregir bugs identificados en UAT, validar correcciones, re-ejecutar pruebas.",5,30,3.2%,En Espera de Debloqueo,Raul Ortega,0%,"Bloqueada: T030 fin proyectado 05-06. Debloqueo 05-06, inicio 06-06. Fin proyectado 12-06. Atraso cascada: 3 días vs baseline 09-06. Proyectada por dependencia. Tarea fuera de crono macro original.",T030,24/03/2026,30/03/2026,06/06/2026,12/06/2026,12/06/2026,3,108238,Correcciones UAT
9: Capacitacion y Documentacion,T032,32,Realizar sesiones de capacitación para usuarios finales en el uso del sistema.,5,30,3.2%,En Espera de Debloqueo,Raul Ortega,0%,"Bloqueada: T031 fin proyectado 12-06. Debloqueo 12-06, inicio 13-06. Fin proyectado 19-06. Atraso cascada: 3 días vs baseline 16-06. Proyectada por dependencia. Tarea fuera de crono macro original.",T031,31/03/2026,06/04/2026,13/06/2026,19/06/2026,19/06/2026,3,108238,Sesiones de capacitación
9: Capacitacion y Documentacion,T033,33,Capacitar a administradores en gestión y mantenimiento del sistema.,3,18,1.9%,En Espera de Debloqueo,Raul Ortega,0%,"Bloqueada: T032 fin proyectado 19-06. Debloqueo 19-06, inicio 20-06. Fin proyectado 22-06. Atraso cascada: 3 días vs baseline 19-06. Proyectada por dependencia. Tarea fuera de crono macro original.",T032,07/04/2026,09/04/2026,20/06/2026,22/06/2026,22/06/2026,3,64943,Capacitación admins
9: Capacitacion y Documentacion,T034,34,Actualizar manuales técnico y de usuario basados en feedback de UAT y capacitación.,4,24,2.5%,En Espera de Debloqueo,Raul Ortega,0%,"Bloqueada: T033 fin proyectado 22-06. Debloqueo 22-06, inicio 23-06. Fin proyectado 27-06. Atraso cascada: 3 días vs baseline 24-06. Proyectada por dependencia. Tarea fuera de crono macro original.",T033,10/04/2026,15/04/2026,23/06/2026,27/06/2026,27/06/2026,3,86591,Manuales actualizados
10: Despliegue,T035,35,"Planificar despliegue en producción, incluyendo migración de datos y procedimientos de rollback.",3,18,1.9%,En Espera de Debloqueo,Raul Ortega,0%,"Bloqueada: T034 fin proyectado 27-06. Debloqueo 27-06, inicio 28-06. Fin proyectado 01-07. Atraso cascada: 4 días vs baseline 27-06. Proyectada por dependencia. Tarea fuera de crono macro original.",T034,16/04/2026,20/04/2026,28/06/2026,01/07/2026,01/07/2026,4,64943,Plan de despliegue
10: Despliegue,T036,36,"Configurar entorno de producción, instalar dependencias, configurar BD y servidores.",4,24,2.5%,En Espera de Debloqueo,Raul Ortega,0%,"Bloqueada: T035 fin proyectado 01-07. Debloqueo 01-07, inicio 02-07. Fin proyectado 06-07. Atraso cascada: 4 días vs baseline 02-07. Proyectada por dependencia. Tarea fuera de crono macro original.",T035,21/04/2026,24/04/2026,02/07/2026,06/07/2026,06/07/2026,4,86591,Entorno producción
10: Despliegue,T037,37,"Ejecutar go-live, migrar datos, validar funcionamiento en producción.",3,18,1.9%,En Espera de Debloqueo,Raul Ortega,0%,"Bloqueada: T036 fin proyectado 06-07. Debloqueo 06-07, inicio 07-07. Fin proyectado 11-07. ATRASO CRÍTICO: 4 días vs baseline 07-07 (vs macro 31-03: 103 días de atraso acumulado). Proyectada por dependencia. Tarea fuera de crono macro original.",T036,27/04/2026,29/04/2026,07/07/2026,11/07/2026,11/07/2026,4,64943,Go-live
10: Despliegue,T038,38,"Proporcionar soporte post-despliegue, monitorear rendimiento, resolver incidencias iniciales.",2,12,1.3%,En Espera de Debloqueo,Raul Ortega,0%,"Bloqueada: T037 fin proyectado 11-07. Debloqueo 11-07, inicio 12-07. Fin proyectado 14-07. Atraso cascada: 4 días vs baseline 10-07. Proyectada por dependencia. Tarea fuera de crono macro original.",T037,30/03/2026,31/03/2026,12/07/2026,14/07/2026,14/07/2026,4,43295,Soporte inicial
Fase Actual,6: Funcionalidades Avanzadas y Refinamiento. Estado: 24/04/2026. T021-T024 en progreso/bloqueadas (50.6% avance real vs 61% reportado). Baseline comprometido realineado al macro original (oct-2025 a mar-2026) para medir atraso operativo por tarea.,,,,,,,,,,,,,,,,,,
